Project Type,Project Scope Complexity,Project Location,Technical Feasibility,Financial Feasibility,Bid Bond or Guarantee,Contract Terms,Project Timeline Months,Project Budget,Relevant Experience,Internal Resources Available,Subcontractors Work,Partner or Joint Venture,Regulatory Issues,Risk Level,Outcome of Risks,Market Demand,Client Reliability,Strategic Alignment,Long Term Impact,Initial Go NoGo Decision
"Roads, Highways, and Bridges Construction",Medium,Qassim,Challenging,Feasible,Yes,Neutral,6 - 12 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,Low,High,Go
"Roads, Highways, and Bridges Construction",Low,Qassim,Challenging,Challenging,Yes,Neutral,24 - 36 Months,Above 2 Billion,Yes,Yes,No,Yes,Major,High,Mitigated,Medium,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Challenging,Yes,Neutral,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,Major,Medium,Mitigated,Low,Low,High,Low,Go
"Roads, Highways, and Bridges Construction",High ,Abha,Challenging,Unfeasible,Yes,Neutral,36 - 48 Months,Above 2 Billion,No,No,No,Yes,Major,Medium,Unmitigated,Medium,Medium,Low,High,NoGo
Piling and Deep Foundation,High ,Yanbu,Unfeasible,Unfeasible,Yes,Neutral,Less than 6  Months,50 - 100 Million,No,No,No,Yes,Minor,High,Mitigated,Medium,Medium,Low,Medium,NoGo
Piling and Deep Foundation,High ,Tabuk,Challenging,Feasible,No,Neutral,Less than 6  Months,50 - 100 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,Low,High,High,Go
"Roads, Highways, and Bridges Construction",High ,Dammam,Feasible,Feasible,Yes,Neutral,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,High,Low,Go
"Roads, Highways, and Bridges Construction",High ,Medina,Unfeasible,Feasible,Yes,Neutral,Less than 6  Months,10 - 50 Millions,Yes,Yes,No,No,None,Medium,Mitigated,Low,Low,Medium,Low,Go
"Roads, Highways, and Bridges Construction",High ,Al Jubail,Unfeasible,Feasible,No,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,No,No,Major,Low,Mitigated,High,Medium,High,High,Go
Buildings Construction,High ,Dammam,Challenging,Feasible,No,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,Medium,Medium,High,High,Go
Drainage and Stormwater Construction,High ,Tabuk,Unfeasible,Feasible,No,Neutral,Less than 6  Months,Less than 10 Million,No,No,No,No,Minor,Medium,Unmitigated,Low,Medium,Medium,Low,NoGo
Buildings Construction,Medium,Qassim,Unfeasible,Feasible,No,Neutral,12 - 24 Months,50 - 100 Million,Yes,No,No,No,Minor,Medium,Unmitigated,Medium,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Unfeasible,Feasible,No,Neutral,6 - 12 Months,400 - 500 Million,Yes,Yes,No,No,Minor,Low,Mitigated,Medium,Low,Low,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Riyadh,Challenging,Feasible,Yes,Neutral,36 - 48 Months,Above 2 Billion,No,No,No,Yes,None,Medium,Unmitigated,Low,High,High,Medium,NoGo
Drainage and Stormwater Construction,High ,Riyadh,Unfeasible,Feasible,Yes,Neutral,36 - 48 Months,900 - 1000 Million,No,Yes,Yes,Yes,Major,High,Mitigated,Medium,Medium,Low,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Riyadh,Unfeasible,Feasible,No,Neutral,24 - 36 Months,Above 2 Billion,No,No,Yes,Yes,Major,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
Construction Materials,Medium,Medina,Challenging,Feasible,No,Neutral,12 - 24 Months,200 - 300 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,Medium,Medium,Low,Go
Construction Materials,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,36 - 48 Months,800 - 900 Million,No,No,No,Yes,Minor,High,Mitigated,Medium,Low,Low,Medium,NoGo
Drainage and Stormwater Construction,High ,Dammam,Challenging,Feasible,No,Neutral,12 - 24 Months,10 - 50 Millions,Yes,Yes,No,No,None,Medium,Mitigated,High,Low,High,High,Go
"Roads, Highways, and Bridges Construction",High ,Dammam,Feasible,Feasible,No,Neutral,6 - 12 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Low,Low,Low,Go
"Roads, Highways, and Bridges Construction",High ,Riyadh,Challenging,Feasible,No,Neutral,6 - 12 Months,Less than 10 Million,No,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,High,High,Go
Piling and Deep Foundation,Medium,Tabuk,Feasible,Feasible,No,Neutral,Less than 6  Months,50 - 100 Million,No,Yes,No,Yes,None,High,Mitigated,Medium,High,High,High,Go
Drainage and Stormwater Construction,High ,Yanbu,Challenging,Feasible,No,Neutral,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,None,Low,Mitigated,Low,Low,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Riyadh,Unfeasible,Feasible,No,Neutral,12 - 24 Months,Above 2 Billion,No,Yes,Yes,Yes,Minor,High,Mitigated,Low,Medium,Low,Medium,NoGo
Buildings Construction,High ,Dammam,Unfeasible,Feasible,No,Neutral,Less than 6  Months,50 - 100 Million,Yes,No,Yes,No,Major,Medium,Mitigated,Medium,Medium,Medium,Low,NoGo
Drainage and Stormwater Construction,High ,Medina,Challenging,Feasible,No,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,Medium,Medium,Low,High,Go
Design and Build,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,12 - 24 Months,Above 2 Billion,No,No,No,Yes,Minor,Medium,Unmitigated,Low,High,Low,High,NoGo
Design and Build,High ,Tabuk,Unfeasible,Feasible,No,Neutral,24 - 36 Months,Above 2 Billion,No,No,No,Yes,Major,Medium,Unmitigated,Medium,Medium,Low,Medium,NoGo
Drainage and Stormwater Construction,High ,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,800 - 900 Million,No,Yes,No,Yes,Minor,High,Mitigated,Medium,Low,High,High,Go
Drainage and Stormwater Construction,Medium,Riyadh,Feasible,Feasible,No,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,Medium,Medium,Go
Design and Build,High ,Medina,Unfeasible,Feasible,No,Neutral,12 - 24 Months,Above 2 Billion,No,No,No,Yes,None,High,Unmitigated,Low,Medium,High,High,NoGo
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Feasible,No,Neutral,24 - 36 Months,150 - 200 Million,Yes,No,No,No,Major,Medium,Mitigated,Low,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Tabuk,Feasible,Feasible,No,Favorable,24 - 36 Months,700 - 800 Million,No,Yes,No,No,Minor,High,Mitigated,Low,Low,High,Medium,Go
Drainage and Stormwater Construction,Medium,Jeddah,Unfeasible,Feasible,No,Neutral,6 - 12 Months,10 - 50 Millions,Yes,Yes,No,No,Major,High,Mitigated,Medium,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,No,Favorable,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Abha,Feasible,Feasible,No,Favorable,24 - 36 Months,100 - 150 Million,Yes,No,No,No,Minor,Medium,Mitigated,High,High,High,Medium,Go
Construction Materials,Low,Medina,Unfeasible,Feasible,No,Favorable,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Low,Mitigated,Medium,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Jeddah,Feasible,Feasible,No,Favorable,12 - 24 Months,Above 2 Billion,Yes,Yes,No,Yes,Minor,Medium,Mitigated,Medium,Low,Medium,Medium,Go
Construction Materials,Low,Riyadh,Feasible,Feasible,No,Favorable,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Mitigated,Medium,Medium,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Kharj,Unfeasible,Feasible,No,Favorable,6 - 12 Months,50 - 100 Million,No,Yes,No,No,Major,Medium,Mitigated,Low,Medium,High,High,Go
Drainage and Stormwater Construction,Low,Al Jubail,Feasible,Feasible,No,Favorable,12 - 24 Months,150 - 200 Million,Yes,No,No,No,Major,High,Mitigated,Low,Low,High,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Jeddah,Feasible,Feasible,No,Favorable,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,Major,Low,Mitigated,Low,Medium,Medium,Low,Go
Drainage and Stormwater Construction,High ,Hofuf,Unfeasible,Unfeasible,No,Neutral,Less than 6  Months,Less than 10 Million,No,No,Yes,No,Major,High,Mitigated,Low,Low,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Riyadh,Unfeasible,Feasible,No,Favorable,12 - 24 Months,300 - 400 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,Medium,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Challenging,No,Favorable,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,Minor,Medium,Mitigated,Low,High,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Tabuk,Challenging,Challenging,No,Favorable,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,Minor,High,Mitigated,High,Low,High,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Medina,Unfeasible,Feasible,No,Neutral,24 - 36 Months,Above 2 Billion,No,Yes,Yes,Yes,Major,Medium,Unmitigated,Low,Medium,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Challenging,Feasible,No,Favorable,12 - 24 Months,300 - 400 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Unfeasible,Unfeasible,No,Neutral,12 - 24 Months,Above 2 Billion,No,Yes,Yes,Yes,None,Medium,Unmitigated,Low,High,Medium,High,NoGo
Drainage and Stormwater Construction,High ,Jeddah,Challenging,Feasible,No,Neutral,Less than 6  Months,Less than 10 Million,No,Yes,Yes,No,Major,Medium,Mitigated,Medium,Medium,High,Medium,NoGo
Drainage and Stormwater Construction,High ,Medina,Unfeasible,Unfeasible,No,Neutral,24 - 36 Months,700 - 800 Million,No,No,Yes,No,Minor,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
Drainage and Stormwater Construction,High ,Riyadh,Unfeasible,Unfeasible,No,Neutral,24 - 36 Months,700 - 800 Million,No,Yes,Yes,No,Minor,High,Mitigated,Low,Low,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Feasible,No,Favorable,24 - 36 Months,200 - 300 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,Low,Low,Go
"Roads, Highways, and Bridges Construction",High ,Abha,Unfeasible,Challenging,No,Favorable,24 - 36 Months,600 - 700 Million,Yes,Yes,Yes,No,Minor,Medium,Mitigated,Medium,Medium,Medium,Low,Go
"Roads, Highways, and Bridges Construction",High ,Abha,Challenging,Feasible,No,Neutral,Less than 6  Months,Less than 10 Million,No,Yes,No,No,Major,Medium,Unmitigated,Low,Low,Low,Medium,NoGo
Drainage and Stormwater Construction,Medium,Tabuk,Challenging,Feasible,No,Favorable,24 - 36 Months,10 - 50 Millions,Yes,Yes,No,No,Major,Medium,Mitigated,Low,Low,High,High,Go
Infrastructure Development,High ,Dammam,Unfeasible,Unfeasible,No,Neutral,24 - 36 Months,400 - 500 Million,Yes,No,No,No,Minor,High,Mitigated,Low,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Feasible,Challenging,No,Favorable,24 - 36 Months,700 - 800 Million,No,Yes,No,No,Minor,Low,Mitigated,Medium,High,High,High,Go
Infrastructure Development,Medium,Dammam,Challenging,Feasible,No,Favorable,6 - 12 Months,150 - 200 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,High,Low,High,Go
Design and Build,High ,Medina,Unfeasible,Unfeasible,No,Neutral,12 - 24 Months,400 - 500 Million,Yes,No,No,No,Major,High,Mitigated,Low,Medium,Medium,Medium,NoGo
Infrastructure Development,High ,Medina,Unfeasible,Unfeasible,No,Unfavorable,36 - 48 Months,150 - 200 Million,Yes,No,No,No,Major,High,Mitigated,Low,Low,Low,Low,NoGo
Drainage and Stormwater Construction,Medium,Riyadh,Unfeasible,Feasible,No,Unfavorable,Above  48 Months,400 - 500 Million,Yes,Yes,No,No,Minor,Low,Mitigated,Medium,Medium,Low,High,Go
"Roads, Highways, and Bridges Construction",Medium,Abha,Challenging,Challenging,No,Unfavorable,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,None,Medium,Mitigated,Low,Low,Medium,High,Go
Infrastructure Development,High ,Tabuk,Feasible,Challenging,No,Unfavorable,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,None,High,Mitigated,Low,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",High ,Dammam,Challenging,Challenging,No,Unfavorable,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,Minor,Medium,Mitigated,Medium,Medium,High,Low,Go
Infrastructure Development,High ,Dammam,Challenging,Feasible,No,Unfavorable,6 - 12 Months,10 - 50 Millions,Yes,Yes,No,No,None,Low,Mitigated,Medium,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Qassim,Feasible,Feasible,No,Favorable,24 - 36 Months,300 - 400 Million,Yes,Yes,No,No,Major,Low,Mitigated,Low,Low,Medium,Medium,Go
Infrastructure Development,High ,Riyadh,Challenging,Feasible,No,Favorable,6 - 12 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Low,Low,Low,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Dammam,Feasible,Challenging,No,Favorable,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,Minor,Medium,Mitigated,High,High,High,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Unfeasible,No,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,No,Yes,Minor,High,Mitigated,Low,Medium,Medium,Low,NoGo
Infrastructure Development,High ,Qassim,Unfeasible,Unfeasible,No,Unfavorable,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,Minor,Medium,Unmitigated,High,Low,Low,Medium,NoGo
Infrastructure Development,High ,Riyadh,Feasible,Challenging,No,Favorable,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,Major,High,Mitigated,Medium,Medium,Medium,High,Go
Piling and Deep Foundation,Low,Tabuk,Unfeasible,Unfeasible,No,Unfavorable,Less than 6  Months,50 - 100 Million,No,Yes,Yes,Yes,Major,High,Mitigated,Low,Medium,Low,Low,NoGo
Buildings Construction,High ,Dammam,Feasible,Unfeasible,No,Unfavorable,12 - 24 Months,Above 2 Billion,No,No,No,Yes,Minor,High,Unmitigated,Medium,High,Medium,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Medina,Challenging,Unfeasible,No,Unfavorable,12 - 24 Months,Above 2 Billion,No,No,Yes,Yes,Major,High,Mitigated,Medium,Medium,Low,Low,NoGo
Design and Build,Low,Al Jubail,Challenging,Feasible,No,Unfavorable,24 - 36 Months,Above 2 Billion,Yes,No,Yes,Yes,Minor,Medium,Unmitigated,Low,Low,Medium,Low,NoGo
Infrastructure Development,High ,Tabuk,Unfeasible,Challenging,No,Favorable,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,Major,High,Mitigated,High,High,High,High,Go
Infrastructure Development,Low,Dammam,Challenging,Challenging,Yes,Favorable,12 - 24 Months,800 - 900 Million,Yes,Yes,No,Yes,None,Low,Mitigated,High,Medium,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Dammam,Challenging,Challenging,Yes,Favorable,Above  48 Months,900 - 1000 Million,Yes,Yes,No,Yes,Minor,Low,Mitigated,High,Low,High,Low,Go
Design and Build,Low,Riyadh,Unfeasible,Feasible,No,Unfavorable,12 - 24 Months,Above 2 Billion,No,Yes,Yes,Yes,Major,Medium,Unmitigated,Low,Low,Low,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Riyadh,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,Yes,Yes,Minor,High,Mitigated,Medium,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",Low,Dammam,Feasible,Feasible,No,Favorable,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,High,Medium,Medium,Go
Drainage and Stormwater Construction,Low,Qassim,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,800 - 900 Million,No,No,No,Yes,Minor,High,Mitigated,Low,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Dammam,Feasible,Feasible,No,Favorable,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Tabuk,Challenging,Feasible,No,Favorable,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Low,Medium,Low,Low,Go
"Roads, Highways, and Bridges Construction",Low,Hofuf,Feasible,Challenging,No,Favorable,24 - 36 Months,Above 2 Billion,Yes,Yes,Yes,Yes,Major,High,Mitigated,Medium,High,Medium,High,Go
Infrastructure Development,Low,Dammam,Challenging,Challenging,Yes,Favorable,24 - 36 Months,900 - 1000 Million,Yes,Yes,No,Yes,None,High,Mitigated,High,Medium,High,Low,Go
Infrastructure Development,Low,Riyadh,Unfeasible,Unfeasible,No,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,No,Yes,Minor,Medium,Unmitigated,Low,Low,Medium,Low,NoGo
Infrastructure Development,High ,Abha,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,No,Yes,Major,High,Mitigated,Low,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Al Kharj,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,No,Yes,Minor,High,Mitigated,Low,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Hofuf,Challenging,Challenging,No,Favorable,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,Minor,High,Mitigated,Low,High,Medium,Low,Go
Infrastructure Development,High ,Yanbu,Unfeasible,Feasible,No,Unfavorable,12 - 24 Months,Above 2 Billion,No,No,Yes,Yes,Major,Medium,Unmitigated,Low,Low,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Dammam,Feasible,Unfeasible,No,Unfavorable,36 - 48 Months,Above 2 Billion,No,Yes,No,Yes,Minor,High,Unmitigated,High,Medium,High,High,NoGo
Drainage and Stormwater Construction,Medium,Riyadh,Feasible,Challenging,No,Favorable,24 - 36 Months,700 - 800 Million,No,Yes,No,Yes,Minor,High,Mitigated,High,Medium,High,High,Go
"Roads, Highways, and Bridges Construction",High ,Tabuk,Feasible,Challenging,No,Favorable,12 - 24 Months,600 - 700 Million,Yes,Yes,Yes,Yes,None,Low,Mitigated,Low,High,High,High,Go
Construction Materials,High ,Riyadh,Unfeasible,Feasible,No,Favorable,Less than 6  Months,10 - 50 Millions,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,Medium,High,Go
Infrastructure Development,High ,Yanbu,Unfeasible,Unfeasible,No,Unfavorable,Less than 6  Months,10 - 50 Millions,Yes,No,No,No,Minor,High,Mitigated,Low,Medium,Low,Medium,NoGo
Infrastructure Development,High ,Medina,Unfeasible,Feasible,No,Favorable,24 - 36 Months,200 - 300 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,Low,High,Go
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Challenging,Feasible,No,Favorable,24 - 36 Months,200 - 300 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Low,High,High,Go
Infrastructure Development,Medium,Medina,Unfeasible,Feasible,No,Favorable,6 - 12 Months,50 - 100 Million,No,Yes,No,No,Minor,Low,Mitigated,Medium,High,High,Low,Go
Drainage and Stormwater Construction,High ,Khobar,Unfeasible,Challenging,No,Favorable,24 - 36 Months,600 - 700 Million,Yes,Yes,Yes,Yes,Major,Medium,Mitigated,Medium,Medium,High,Medium,Go
Drainage and Stormwater Construction,Medium,Tabuk,Unfeasible,Unfeasible,No,Unfavorable,12 - 24 Months,50 - 100 Million,No,Yes,Yes,No,Minor,High,Mitigated,Low,Medium,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Tabuk,Unfeasible,Feasible,Yes,Unfavorable,24 - 36 Months,50 - 100 Million,Yes,No,No,No,Minor,Medium,Unmitigated,Medium,Medium,Low,Medium,NoGo
Infrastructure Development,High ,Dammam,Unfeasible,Challenging,No,Favorable,12 - 24 Months,600 - 700 Million,Yes,Yes,Yes,Yes,Major,Medium,Mitigated,Medium,Medium,High,Medium,Go
Design and Build,High ,Dammam,Unfeasible,Unfeasible,Yes,Unfavorable,Less than 6  Months,Less than 10 Million,No,No,Yes,No,Minor,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Khobar,Unfeasible,Unfeasible,Yes,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,No,Yes,Minor,High,Mitigated,Low,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Tabuk,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,900 - 1000 Million,No,No,No,Yes,Major,High,Mitigated,Low,Medium,Medium,Low,NoGo
Drainage and Stormwater Construction,High ,Dammam,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,700 - 800 Million,No,Yes,No,Yes,Minor,High,Mitigated,Medium,Low,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Qassim,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,100 - 150 Million,Yes,No,No,No,Major,High,Mitigated,Low,Medium,Low,Low,NoGo
Drainage and Stormwater Construction,High ,Riyadh,Unfeasible,Unfeasible,Yes,Unfavorable,36 - 48 Months,900 - 1000 Million,No,Yes,Yes,Yes,Major,High,Mitigated,Medium,Medium,Low,Medium,NoGo
