Project Location,Technical Feasibility,Financial Feasibility,Contract Terms,Project Budget,Relevant Experience,Internal Resources Available,Regulatory Issues,Risk Level,Market Demand,Client Reliability,Strategic Alignment,Initial Go NoGo Decision
Riyadh,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Low,High,High,High,Go
Jeddah,Challenging,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,Low,Medium,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Tabuk & Khamis Mushait,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Hail,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Al Qassim,Feasible,Unfeasible,Favorable,200 - 300 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,Major,Medium,High,Medium,High,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,High,Low,Go
Al Qassim,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,Medium,High,Go
Al Qassim,Feasible,Unfeasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,Low,High,Go
Al Qassim,Challenging,Unfeasible,Favorable,100 - 150 Million,No,Yes,None,Medium,High,High,Medium,Go
Al Qassim,Feasible,Feasible,Neutral,50 - 100 Million,No,Yes,None,Low,High,High,High,Go
Al Qassim,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,Medium,Low,Go
Riyadh,Challenging,Feasible,Neutral,10 - 50 Million,No,Yes,None,Low,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Riyadh,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,High,High,Go
Riyadh,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,Low,High,Go
Abha,Feasible,Feasible,Neutral,200 - 300 Million,No,No,Minor,Medium,High,Medium,Medium,Go
Al Madinah,Feasible,Feasible,Neutral,50 - 100 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Najran,Feasible,Feasible,Neutral,200 - 300 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Riyadh,Feasible,Challenging,Favorable,800 - 900 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,50 - 100 Million,Yes,No,Minor,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,300 - 400 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Jeddah,Challenging,Feasible,Favorable,200 - 300 Million,Yes,Yes,Major,Low,High,Low,Medium,Go
Abha,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,Major,Low,High,Medium,Medium,Go
Al Qassim,Challenging,Challenging,Favorable,150 - 200 Million,Yes,Yes,None,Low,High,High,Medium,Go
Riyadh,Challenging,Feasible,Favorable,150 - 200 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Jeddah,Challenging,Feasible,Favorable,200 - 300 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,200 - 300 Million,Yes,Yes,Minor,Low,High,High,Medium,Go
Riyadh,Challenging,Challenging,Favorable,50 - 100 Million,No,Yes,None,Medium,High,Medium,Medium,Go
Riyadh,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Eastern Province,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Eastern Province,Feasible,Feasible,Favorable,200 - 300 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Eastern Province,Feasible,Feasible,Favorable,150 - 200 Million,No,Yes,Major,Medium,High,High,High,Go
Eastern Province,Feasible,Feasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,High,High,Go
Makkah,Feasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Makkah,Challenging,Feasible,Favorable,200 - 300 Million,Yes,Yes,None,Low,High,Medium,High,Go
Al Madinah,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,Major,Low,High,Low,High,Go
Al Madinah,Challenging,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Al Qassim,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Al Qassim,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,None,Medium,High,High,High,Go
Al Qassim,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Low,High,Low,Low,Go
Hail,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Aseer,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Aseer,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Medium,High,Low,High,Go
Aseer,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Aseer,Feasible,Feasible,Favorable,50 - 100 Million,No,Yes,None,Medium,High,High,High,Go
Aseer,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Aseer,Feasible,Feasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Northern Region,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Northern Region,Feasible,Feasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,150 - 200 Million,No,Yes,None,Low,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Eastern Province,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Eastern Province,Feasible,Feasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,Medium,Medium,Go
Eastern Province,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Eastern Province,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Makkah,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Al Madinah,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,None,Medium,High,High,High,Go
Al Madinah,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Al Qassim,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Low,High,High,Medium,Go
Al Qassim,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Al Qassim,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Major,Medium,High,High,High,Go
Al Qassim,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Al Qassim,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Aseer,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Aseer,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,High,High,Go
Aseer,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Medium,High,Low,Medium,Go
Aseer,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Jazan,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,Major,Medium,High,Medium,High,Go
Jazan,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,High,Low,Go
Yanbu,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,Medium,High,Go
Al Baha,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,Medium,Low,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,No,Yes,None,Low,High,High,High,Go
Aseer,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,Low,High,Go
Aseer,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,Major,Low,High,Low,Medium,Go
Aseer,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Riyadh,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Aseer,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,Medium,High,Go
Al Baha,Challenging,Challenging,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,Low,High,Go
Al Madinah,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Al Madinah,Challenging,Feasible,Neutral,10 - 50 Million,Yes,No,Minor,Medium,High,High,Low,Go
Al Baha,Challenging,Unfeasible,Favorable,100 - 150 Million,No,Yes,None,Low,High,High,Medium,Go
Al Madinah,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,None,Medium,High,Low,High,Go
Aseer,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,High,High,Go
Al Baha,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,High,High,Go
Aseer,Feasible,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,High,High,High,Go
Al Madinah,Feasible,Unfeasible,Favorable,100 - 150 Million,No,Yes,None,Low,High,High,High,Go
Al Madinah,Feasible,Unfeasible,Favorable,100 - 150 Million,No,Yes,None,Low,High,High,High,Go
Al Madinah,Feasible,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Low,High,High,High,Go
Jeddah,Feasible,Feasible,Neutral,200 - 300 Million,Yes,Yes,None,Medium,High,High,High,Go
Al Madinah,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Al Madinah,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Al Qassim,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Al Qassim,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Aseer,Feasible,Feasible,Neutral,10 - 50 Million,No,Yes,None,Medium,High,High,High,Go
Jeddah,Feasible,Feasible,Neutral,10 - 50 Million,No,Yes,None,Low,High,High,High,Go
Al Qassim,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,10 - 50 Million,No,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,10 - 50 Million,No,Yes,None,Low,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Aseer,Feasible,Feasible,Neutral,10 - 50 Million,No,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,10 - 50 Million,No,No,None,Medium,High,Medium,Medium,Go
Al Qassim,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,Medium,High,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Low,High,Low,High,Go
Riyadh,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Low,High,Medium,Medium,Go
Jeddah,Challenging,Feasible,Favorable,150 - 200 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Al Qassim,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,None,Low,High,Medium,Medium,Go
Al Qassim,Challenging,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Low,High,High,Medium,Go
Riyadh,Challenging,Feasible,Favorable,300 - 400 Million,Yes,Yes,None,Low,High,High,High,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Challenging,Feasible,Neutral,200 - 300 Million,Yes,Yes,None,Low,High,Medium,Medium,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,Low,Medium,Go
Riyadh,Challenging,Feasible,Neutral,400 - 500 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,High,Medium,Go
Riyadh,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Riyadh,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Low,High,High,Medium,Go
Riyadh,Challenging,Feasible,Neutral,200 - 300 Million,Yes,Yes,Minor,Low,High,High,Medium,Go
Riyadh,Challenging,Feasible,Neutral,200 - 300 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Riyadh,Challenging,Feasible,Neutral,500 - 600 Million,Yes,Yes,Minor,Low,High,Medium,Medium,Go
Yanbu,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,Minor,Low,High,High,High,Go
Jeddah,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Riyadh,Feasible,Feasible,Neutral,400 - 500 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,200 - 300 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,200 - 300 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Jeddah,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,Minor,Low,High,Low,High,Go
Riyadh,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Low,High,High,Medium,Go
Al Madinah,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Low,High,High,Low,Go
Eastern Province,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Low,High,Low,Low,Go
Al Madinah,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Low,High,High,Low,Go
Jeddah,Challenging,Feasible,Neutral,300 - 400 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Tabuk & Khamis Mushait,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,Minor,Low,High,Low,High,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,Minor,Low,High,High,High,Go
Eastern Province,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,Low,Go
Jeddah,Challenging,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Low,High,High,High,Go
Arar ,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Challenging,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Al Madinah,Challenging,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Low,High,High,Medium,Go
Jeddah,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,None,Medium,High,High,High,Go
Al Madinah,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Low,High,Medium,High,Go
Eastern Province,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Low,High,High,High,Go
Eastern Province,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Al Madinah,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Riyadh,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Riyadh,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Riyadh,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Eastern Province,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Low,High,Medium,Medium,Go
Yanbu,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,Medium,Go
Riyadh,Feasible,Feasible,Neutral,600 - 700 Million,Yes,Yes,None,Medium,High,High,High,Go
Al Madinah,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,High,High,Go
Al Qassim,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,High,Go
Jeddah,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,High,Medium,Go
Al Madinah,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Hail,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,High,Low,Go
Hail,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,Low,Medium,Go
Al Madinah,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,Medium,High,Go
Al Baha,Feasible,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Low,High,Medium,High,Go
Majma,Feasible,Feasible,Neutral,600 - 700 Million,Yes,Yes,None,Medium,High,High,Low,Go
Riyadh,Feasible,Feasible,Neutral,500 - 600 Million,Yes,Yes,None,Low,High,Medium,High,Go
Eastern Province,Feasible,Feasible,Neutral,500 - 600 Million,Yes,Yes,None,Low,High,Medium,Low,Go
Riyadh,Challenging,Feasible,Favorable,400 - 500 Million,Yes,No,None,Low,Medium,Low,Low,Go
Tabuk,Unfeasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,Minor,Medium,Low,Medium,High,Go
Medina,Challenging,Challenging,Favorable,900 - 1000 Million,Yes,Yes,Minor,High,Low,Low,High,Go
Tabuk,Unfeasible,Feasible,Unfavorable,Above 2 Billion,No,No,Major,Medium,Low,Medium,Low,NoGo
Riyadh,Unfeasible,Feasible,Unfavorable,900 - 1000 Million,No,Yes,Minor,Medium,Medium,Medium,Medium,NoGo
Tabuk,Challenging,Unfeasible,Unfavorable,Above 2 Billion,No,Yes,Major,High,High,Medium,Low,NoGo
Riyadh,Feasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Riyadh,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Medium,Low,Medium,NoGo
Medina,Unfeasible,Unfeasible,Unfavorable,100 - 150 Million,Yes,No,Major,High,Low,Medium,Medium,NoGo
Qassim,Feasible,Feasible,Favorable,10 - 50 Millions,Yes,Yes,Minor,Medium,High,High,High,Go
Medina,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Mecca,Unfeasible,Feasible,Favorable,50 - 100 Million,No,Yes,None,High,Medium,High,High,Go
Jeddah,Unfeasible,Feasible,Unfavorable,700 - 800 Million,No,Yes,Major,Medium,Low,Medium,Medium,NoGo
Dammam,Unfeasible,Challenging,Favorable,600 - 700 Million,Yes,Yes,Major,Medium,Medium,Medium,High,Go
Riyadh,Challenging,Feasible,Favorable,300 - 400 Million,Yes,Yes,Minor,Low,Low,High,Medium,Go
Dammam,Challenging,Unfeasible,Unfavorable,50 - 100 Million,Yes,No,Major,High,Low,Medium,Medium,NoGo
Riyadh,Feasible,Feasible,Favorable,10 - 50 Millions,Yes,Yes,Minor,Low,Low,Medium,Low,Go
Medina,Unfeasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,Major,Low,Medium,High,Low,Go
Mecca,Unfeasible,Feasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,Medium,High,Go
Riyadh,Unfeasible,Feasible,Neutral,100 - 150 Million,Yes,Yes,Major,Medium,Medium,Medium,Low,Go
Tabuk,Unfeasible,Feasible,Unfavorable,Above 2 Billion,No,No,Major,Medium,Medium,Medium,Medium,NoGo
Dammam,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,Major,Medium,High,Medium,High,Go
Medina,Feasible,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,Low,High,Medium,Go
Dammam,Feasible,Challenging,Neutral,500 - 600 Million,Yes,Yes,Major,Medium,Low,High,High,Go
Abha,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,Yes,None,High,Medium,Medium,High,NoGo
Riyadh,Challenging,Unfeasible,Unfavorable,100 - 150 Million,Yes,No,Major,High,Low,Medium,Medium,NoGo
Medina,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Medium,Low,Medium,NoGo
Riyadh,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,High,High,Low,Go
Tabuk,Unfeasible,Feasible,Neutral,10 - 50 Millions,Yes,Yes,Minor,Medium,Low,Medium,High,Go
Tabuk,Challenging,Feasible,Unfavorable,700 - 800 Million,No,Yes,Minor,Medium,Low,Medium,Low,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,400 - 500 Million,Yes,No,Minor,High,Medium,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Medium,Low,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,Less than 10 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Riyadh,Unfeasible,Feasible,Unfavorable,Above 2 Billion,No,Yes,Major,Medium,Medium,Medium,Medium,NoGo
Riyadh,Challenging,Unfeasible,Unfavorable,600 - 700 Million,No,No,Minor,High,Medium,Low,Medium,NoGo
Khobar,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,Medium,Medium,NoGo
Riyadh,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Low,Medium,Medium,NoGo
Medina,Unfeasible,Unfeasible,Unfavorable,150 - 200 Million,Yes,No,Minor,High,Low,Medium,Low,NoGo
Tabuk,Challenging,Challenging,Neutral,Above 2 Billion,No,Yes,None,Medium,High,Low,Medium,Go
Dammam,Challenging,Challenging,Neutral,Above 2 Billion,Yes,Yes,Minor,High,Low,High,Medium,Go
Medina,Unfeasible,Unfeasible,Unfavorable,Less than 10 Million,No,Yes,Minor,High,Medium,Medium,Medium,NoGo
Medina,Unfeasible,Feasible,Unfavorable,700 - 800 Million,No,Yes,Minor,Medium,Medium,Medium,Medium,NoGo
Riyadh,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,Yes,Major,High,Low,Low,Medium,NoGo
Tabuk,Unfeasible,Unfeasible,Unfavorable,900 - 1000 Million,No,No,Major,High,Low,Medium,Medium,NoGo
Medina,Unfeasible,Feasible,Unfavorable,100 - 150 Million,Yes,No,Major,Medium,Low,Medium,Medium,NoGo
Yanbu,Challenging,Feasible,Unfavorable,50 - 100 Million,No,Yes,Major,Medium,Low,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,Yes,Minor,High,Medium,Low,Medium,NoGo
Riyadh,Unfeasible,Feasible,Unfavorable,100 - 150 Million,Yes,No,Minor,Medium,Low,Medium,Medium,NoGo
Riyadh,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,Medium,Medium,NoGo
Hofuf,Challenging,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,Medium,Low,Low,Low,NoGo
Dammam,Challenging,Unfeasible,Unfavorable,900 - 1000 Million,No,No,Minor,High,Low,Medium,Low,NoGo
Riyadh,Unfeasible,Feasible,Neutral,150 - 200 Million,Yes,Yes,Minor,Medium,Low,Medium,Low,Go
Khobar,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,Major,High,Low,Low,High,Go
Qassim,Unfeasible,Unfeasible,Unfavorable,100 - 150 Million,Yes,No,Major,High,Low,Medium,Low,NoGo
Tabuk,Feasible,Unfeasible,Unfavorable,100 - 150 Million,No,Yes,Major,Medium,Low,Medium,Medium,NoGo
